node,aid,title,ctime,tid,tname,pubdate,duration
951953890,606556723,她本来可以直接打你，但她还是找了个借口！,1671711689,138,搞笑,1671711689,31
951953890,738300437,龟：卖刀的，恁就是个龟孙,1678588292,138,搞笑,1678588292,11
951953890,902529593,下课千万别睡觉！！,1668334373,138,搞笑,1668334373,28
951953890,269443673,我总感觉哪里不对，但是又说不上来是哪里不对,1680344128,218,喵星人,1680344128,71
951953890,564864260,课桌恶魔！,1672906288,138,搞笑,1672906288,29
951953890,634879157,男子高中三年总结出“摔粉笔定律”，牛顿看了也要说声绝！,1639644030,138,搞笑,1639644030,16
951953890,482985912,改卷老师：别太荒谬😅,1677837006,47,短片·手书·配音,1677837006,27
951953890,781837567,这得赔驾校多少钱啊,1680139356,138,搞笑,1680139356,12
951953890,654347007,女朋友逐渐疯狂了哈哈哈,1680089266,210,手办·模玩,1680089266,22
951953890,525841836,课桌恶魔2！,1678504609,138,搞笑,1678504609,76
951953890,439268814,医生，这鸭还有救吗？,1680148860,76,美食制作,1680319800,34
951953890,563727172,狗子:当时就吓死我了,1670837075,219,汪星人,1670837075,12
951953890,994328760,现在谁生气还扔书包啊,1680156904,158,穿搭,1680156904,11
951953890,824401533,“就知道哭，创死你！”,1680322176,216,鬼畜剧场,1680329951,94
951953890,739257871,谢谢你 我打字比较慢,1680269043,138,搞笑,1680269043,65
951953890,781025373,一年后一个宿舍都哑巴,1678875293,138,搞笑,1678875293,63
951953890,354283058,"""你好,是警察局吗？我想问问制冰违不违法？""",1680234191,138,搞笑,1680234191,37
951953890,311664992,大专真就废了吗？,1679981526,208,校园学习,1680747000,101
951953890,909358419,只洗一半的原因是……,1680159140,176,汽车生活,1680159140,154
951953890,761869827,拍朋友辅助器！争加朋友之间的感情！,1626781332,138,搞笑,1626781332,27
951953890,904907131,什么规定！为什么刘海不能超过眉毛啊！,1673149313,138,搞笑,1673149313,30
951953890,725792235,网课怒挣老师100块！,1650430904,138,搞笑,1650430904,11
951953890,738626391,离谱！后排吃个火锅而已啊！,1679197434,138,搞笑,1679197434,28
951953890,484745255,为什么两年前我要花1000买这个,1680774050,219,汪星人,1680774050,56
951953890,311807269,猫猫打字太慢了,1680251011,47,短片·手书·配音,1680251011,26
951953890,566295790,最高演技：假装打架互撕寒假作业！,1675415073,138,搞笑,1675415072,27
951953890,641025589,关于网课老师被我吓哭那件事,1651207718,138,搞笑,1651207718,11
951953890,226891662,不是 上个厕所还能怎么快点？,1680328272,47,短片·手书·配音,1680328272,34
951953890,441684695,1+10=？糟糕好像要长脑子了！,1680014164,21,日常,1680014164,35
951953890,867054143,用英语考倒美国人,1680577755,138,搞笑,1680577755,69
951953890,569372611,只要成绩不出来我就是神,1680060007,172,手机游戏,1680060007,118
951953890,311760024,司机再贪……就要开始坍缩了！！,1680269258,17,单机游戏,1680319200,163
951953890,312085762,偶遇两只鲲蛙现场battle,1680702192,138,搞笑,1680702192,24
951953890,597125035,关于老师擦了边这件事,1654420404,138,搞笑,1654420404,19
951953890,397061471,雨下的再大也得遛狗……,1680692791,219,汪星人,1680692791,15
951953890,781949176,大胆刁民！竟敢胡作非为！,1680350788,138,搞笑,1680350788,30
951953890,738734071,这种理发技术已经失传了,1679136711,138,搞笑,1679136711,200
951953890,774090489,宿舍装了电梯就是方便啊,1665725007,21,日常,1665725007,36
951953890,305156374,明明是三个人的游戏啊！,1668600640,138,搞笑,1668600640,27
951953890,654401564,愚人节这种东西到底是谁发明的啊！,1680313090,138,搞笑,1680313090,10
951953890,654433930,这鳄鱼到底吃啥啊？,1680342816,138,搞笑,1680342816,159
951953890,484614934,《我和我的鳄鱼》终结篇！,1680599439,138,搞笑,1680602314,230
951953890,220181377,史上最大的鳄鱼，长10米重14吨，曾把恐龙当食物！,1668739501,220,动物二创,1668739501,102
951953890,525434387,如果可以，我们养殖场可以购买小河！,1677811597,221,野生动物,1677811597,14
951953890,377973743,小鳄鱼吃大螃蟹，这吃货太猛了，这也能咬碎吃掉！,1631099789,222,小宠异宠,1631099789,103
951953890,719273842,宠物小鳄鱼到底能不能养熟？,1637410547,222,小宠异宠,1637410547,78
951953890,633011322,一块九买一条鲨鱼，一口被凶猛的鳄鱼吞进去！,1632047932,222,小宠异宠,1632047932,105
951953890,777215639,今天安排一个烤乳猪！,1672738620,138,搞笑,1672738619,190
951953890,690017009,谁这么大胆在寝室养鳄鱼,1668424686,220,动物二创,1668424686,12
951953890,778990204,用氦气球把二踢脚带到500米高空放是什么效果？,1675767048,138,搞笑,1675767048,191
951953890,441676855,菜市场捡来的鲨鱼卵，历经5个月时间孵化鲨鱼宝宝，太神奇太有趣了,1679909152,222,小宠异宠,1679909152,335
951953890,224814302,还有什么要求你们尽管提！,1676994935,138,搞笑,1677056400,186
951953890,349894801,金色的童年，甜蜜的口感！,1673087573,138,搞笑,1673087573,187
951953890,890765594,宠物鳄鱼到底能不能长大？专业人士为你解答。,1632918802,222,小宠异宠,1632918802,102
951953890,776362499,还是大锅炖起来爽啊！,1671108649,215,美食记录,1671108649,175
951953890,649791079,来年高低整个马玩玩！,1672855467,138,搞笑,1672909200,212
