Source,Target,Path,Length
17,222,"[(35, {'title_length': 7, 'ctime_length': 1680257661, 'duration_length': 86, 'tid': 17, 'pagerank': 2.8631603533541615e-05}), (86, {'title_length': 9, 'ctime_length': 1680322130, 'duration_length': 42, 'tid': 138, 'pagerank': 3.3577201950950124e-05}), (461, {'title_length': 13, 'ctime_length': 1679906076, 'duration_length': 64, 'tid': 238, 'pagerank': 3.216417383169055e-05}), (32, {'title_length': 18, 'ctime_length': 1679907956, 'duration_length': 32, 'tid': 161, 'pagerank': 4.272655902315586e-05}), (968, {'title_length': 12, 'ctime_length': 1677517640, 'duration_length': 12, 'tid': 138, 'pagerank': 3.089833614152052e-05}), (55, {'title_length': 8, 'ctime_length': 1678194013, 'duration_length': 23, 'tid': 21, 'pagerank': 3.110440274224587e-05}), (76, {'title_length': 23, 'ctime_length': 1615022474, 'duration_length': 31, 'tid': 220, 'pagerank': 3.110440274224587e-05}), (53, {'title_length': 8, 'ctime_length': 1642473629, 'duration_length': 21, 'tid': 75, 'pagerank': 3.110440274224587e-05}), (47, {'title_length': 12, 'ctime_length': 1680525658, 'duration_length': 28, 'tid': 222, 'pagerank': 3.2340802346598e-05})]",8
17,229,"[(27, {'title_length': 4, 'ctime_length': 1673582296, 'duration_length': 27, 'tid': 17, 'pagerank': 2.9868003137893746e-05}), (5, {'title_length': 6, 'ctime_length': 1678504609, 'duration_length': 76, 'tid': 138, 'pagerank': 3.419540175312619e-05}), (12, {'title_length': 7, 'ctime_length': 1676956330, 'duration_length': 66, 'tid': 138, 'pagerank': 3.295900214877406e-05}), (1, {'title_length': 10, 'ctime_length': 1680317035, 'duration_length': 73, 'tid': 138, 'pagerank': 3.32918789653304e-05}), (30, {'title_length': 12, 'ctime_length': 1680512530, 'duration_length': 168, 'tid': 229, 'pagerank': 3.514788737425672e-05})]",4
20,21,"[(515, {'title_length': 14, 'ctime_length': 1680117778, 'duration_length': 85, 'tid': 20, 'pagerank': 2.974436317745853e-05}), (370, {'title_length': 22, 'ctime_length': 1680187485, 'duration_length': 194, 'tid': 250, 'pagerank': 5.1947618225500784e-05}), (394, {'title_length': 14, 'ctime_length': 1680604879, 'duration_length': 168, 'tid': 21, 'pagerank': 3.608953364491543e-05}), (508, {'title_length': 30, 'ctime_length': 1680434983, 'duration_length': 173, 'tid': 21, 'pagerank': 3.0486202940069805e-05})]",3
20,22,"[(515, {'title_length': 14, 'ctime_length': 1680117778, 'duration_length': 85, 'tid': 20, 'pagerank': 2.974436317745853e-05}), (370, {'title_length': 22, 'ctime_length': 1680187485, 'duration_length': 194, 'tid': 250, 'pagerank': 5.1947618225500784e-05}), (394, {'title_length': 14, 'ctime_length': 1680604879, 'duration_length': 168, 'tid': 21, 'pagerank': 3.608953364491543e-05}), (144, {'title_length': 9, 'ctime_length': 1680150293, 'duration_length': 125, 'tid': 22, 'pagerank': 3.3820735206352813e-05})]",3
20,25,"[(515, {'title_length': 14, 'ctime_length': 1680117778, 'duration_length': 85, 'tid': 20, 'pagerank': 2.974436317745853e-05}), (370, {'title_length': 22, 'ctime_length': 1680187485, 'duration_length': 194, 'tid': 250, 'pagerank': 5.1947618225500784e-05}), (394, {'title_length': 14, 'ctime_length': 1680604879, 'duration_length': 168, 'tid': 21, 'pagerank': 3.608953364491543e-05}), (10, {'title_length': 23, 'ctime_length': 1680244206, 'duration_length': 301, 'tid': 138, 'pagerank': 3.605305757293602e-05}), (169, {'title_length': 19, 'ctime_length': 1680174758, 'duration_length': 12, 'tid': 25, 'pagerank': 2.9603060365532574e-05})]",4
20,27,"[(515, {'title_length': 14, 'ctime_length': 1680117778, 'duration_length': 85, 'tid': 20, 'pagerank': 2.974436317745853e-05}), (370, {'title_length': 22, 'ctime_length': 1680187485, 'duration_length': 194, 'tid': 250, 'pagerank': 5.1947618225500784e-05}), (386, {'title_length': 19, 'ctime_length': 1680757665, 'duration_length': 101, 'tid': 122, 'pagerank': 3.6510305774261665e-05}), (154, {'title_length': 17, 'ctime_length': 1680883628, 'duration_length': 259, 'tid': 138, 'pagerank': 3.234286817718171e-05}), (1377, {'title_length': 20, 'ctime_length': 1680901736, 'duration_length': 613, 'tid': 21, 'pagerank': 3.274328987737645e-05}), (241, {'title_length': 16, 'ctime_length': 1680858495, 'duration_length': 46, 'tid': 254, 'pagerank': 3.38363725496215e-05}), (368, {'title_length': 45, 'ctime_length': 1679137812, 'duration_length': 15, 'tid': 27, 'pagerank': 2.8454975018634172e-05})]",6
20,31,"[(515, {'title_length': 14, 'ctime_length': 1680117778, 'duration_length': 85, 'tid': 20, 'pagerank': 2.974436317745853e-05}), (370, {'title_length': 22, 'ctime_length': 1680187485, 'duration_length': 194, 'tid': 250, 'pagerank': 5.1947618225500784e-05}), (401, {'title_length': 32, 'ctime_length': 1677640615, 'duration_length': 22, 'tid': 250, 'pagerank': 3.093580279619785e-05}), (157, {'title_length': 10, 'ctime_length': 1680434657, 'duration_length': 64, 'tid': 138, 'pagerank': 4.0878975129799604e-05}), (183, {'title_length': 7, 'ctime_length': 1680508551, 'duration_length': 110, 'tid': 31, 'pagerank': 2.8631603533541615e-05})]",4
20,32,"[(515, {'title_length': 14, 'ctime_length': 1680117778, 'duration_length': 85, 'tid': 20, 'pagerank': 2.974436317745853e-05}), (370, {'title_length': 22, 'ctime_length': 1680187485, 'duration_length': 194, 'tid': 250, 'pagerank': 5.1947618225500784e-05}), (401, {'title_length': 32, 'ctime_length': 1677640615, 'duration_length': 22, 'tid': 250, 'pagerank': 3.093580279619785e-05}), (157, {'title_length': 10, 'ctime_length': 1680434657, 'duration_length': 64, 'tid': 138, 'pagerank': 4.0878975129799604e-05}), (0, {'title_length': 11, 'ctime_length': 1679203804, 'duration_length': 195, 'tid': 47, 'pagerank': 3.586317677122087e-05}), (83, {'title_length': 14, 'ctime_length': 1680169823, 'duration_length': 149, 'tid': 138, 'pagerank': 3.192866914514729e-05}), (8, {'title_length': 23, 'ctime_length': 1680265483, 'duration_length': 441, 'tid': 253, 'pagerank': 3.496471706250084e-05}), (1726, {'title_length': 7, 'ctime_length': 1497423756, 'duration_length': 2098, 'tid': 32, 'pagerank': 2.8631603533541615e-05})]",7
20,33,"[(515, {'title_length': 14, 'ctime_length': 1680117778, 'duration_length': 85, 'tid': 20, 'pagerank': 2.974436317745853e-05}), (370, {'title_length': 22, 'ctime_length': 1680187485, 'duration_length': 194, 'tid': 250, 'pagerank': 5.1947618225500784e-05}), (386, {'title_length': 19, 'ctime_length': 1680757665, 'duration_length': 101, 'tid': 122, 'pagerank': 3.6510305774261665e-05}), (488, {'title_length': 13, 'ctime_length': 1680753535, 'duration_length': 11, 'tid': 21, 'pagerank': 3.502173398661132e-05}), (132, {'title_length': 29, 'ctime_length': 1680708601, 'duration_length': 1421, 'tid': 33, 'pagerank': 2.9043736734992328e-05})]",4
20,47,"[(515, {'title_length': 14, 'ctime_length': 1680117778, 'duration_length': 85, 'tid': 20, 'pagerank': 2.974436317745853e-05}), (370, {'title_length': 22, 'ctime_length': 1680187485, 'duration_length': 194, 'tid': 250, 'pagerank': 5.1947618225500784e-05}), (391, {'title_length': 10, 'ctime_length': 1680363140, 'duration_length': 65, 'tid': 21, 'pagerank': 3.340860200490211e-05}), (172, {'title_length': 10, 'ctime_length': 1680432573, 'duration_length': 109, 'tid': 47, 'pagerank': 2.924980333571768e-05})]",3
20,59,"[(515, {'title_length': 14, 'ctime_length': 1680117778, 'duration_length': 85, 'tid': 20, 'pagerank': 2.974436317745853e-05}), (370, {'title_length': 22, 'ctime_length': 1680187485, 'duration_length': 194, 'tid': 250, 'pagerank': 5.1947618225500784e-05}), (388, {'title_length': 21, 'ctime_length': 1679831935, 'duration_length': 96, 'tid': 21, 'pagerank': 3.0317602994021788e-05}), (446, {'title_length': 35, 'ctime_length': 1679736986, 'duration_length': 197, 'tid': 138, 'pagerank': 3.156186242892188e-05}), (32, {'title_length': 18, 'ctime_length': 1679907956, 'duration_length': 32, 'tid': 161, 'pagerank': 4.272655902315586e-05}), (971, {'title_length': 9, 'ctime_length': 1678242622, 'duration_length': 41, 'tid': 59, 'pagerank': 2.9043736734992328e-05})]",5
20,71,"[(515, {'title_length': 14, 'ctime_length': 1680117778, 'duration_length': 85, 'tid': 20, 'pagerank': 2.974436317745853e-05}), (370, {'title_length': 22, 'ctime_length': 1680187485, 'duration_length': 194, 'tid': 250, 'pagerank': 5.1947618225500784e-05}), (385, {'title_length': 62, 'ctime_length': 1679481528, 'duration_length': 123, 'tid': 124, 'pagerank': 2.9081203389669664e-05}), (276, {'title_length': 78, 'ctime_length': 1680666125, 'duration_length': 156, 'tid': 124, 'pagerank': 3.492218194422514e-05}), (437, {'title_length': 41, 'ctime_length': 1679107162, 'duration_length': 884, 'tid': 201, 'pagerank': 3.50763169819521e-05}), (1249, {'title_length': 13, 'ctime_length': 1679193148, 'duration_length': 348, 'tid': 138, 'pagerank': 3.0212382014842917e-05}), (842, {'title_length': 18, 'ctime_length': 1678707217, 'duration_length': 32, 'tid': 239, 'pagerank': 3.9191124478819245e-05}), (835, {'title_length': 51, 'ctime_length': 1678883838, 'duration_length': 38, 'tid': 239, 'pagerank': 3.9825175557974176e-05}), (841, {'title_length': 26, 'ctime_length': 1602325801, 'duration_length': 174, 'tid': 71, 'pagerank': 2.9868003137893746e-05})]",8
