aid,importance
607167149,0.0016519243948525857
949709221,0.001490262899431964
264304125,0.0014408832078444808
949263559,0.0013937688557064285
736392280,0.0013842193663183486
567065530,0.0013710049056641998
392559934,0.0013506727703775244
693511618,0.0013491575288335548
692560467,0.001348575424608905
989821921,0.0013469116026148436
478608220,0.0013331540286812683
734451369,0.0012783504001053676
441786248,0.0012645577933027387
821963361,0.0012608460273943833
483163923,0.0012607312925770144
268587445,0.0012521412778069378
566241733,0.0012446491339501641
949140221,0.001226513814445887
863359652,0.0012229146428122928
991653085,0.0012006021483282673
