aid,importance
607167149,0.001297829402165573
264304125,0.001237209890299653
949709221,0.001166028687821684
734451369,0.0011179511951401905
693511618,0.001095776631302073
567065530,0.0010755986157147891
949263559,0.0010740166846159832
736392280,0.0010702390375823502
989821921,0.0010104749922559234
392559934,0.0010026501424277386
483163923,0.0009920840398359775
692560467,0.0009597927661175665
268587445,0.000939185070697161
777868669,0.0009357762556369734
478608220,0.000935662045218112
942019814,0.0009347141964820505
990256440,0.0009291146713882774
863359652,0.0009045573065793027
288426962,0.0009018967828968933
991653085,0.0008946858963765071
